id,question,sql
1,Show all users.,SELECT * FROM users;
2,Show all products.,SELECT * FROM products;
3,Show all orders.,SELECT * FROM orders;
4,Show all payments.,SELECT * FROM payments;
5,List all user names and emails.,"SELECT name, email FROM users;"
6,List every product name and its price.,"SELECT name, price FROM products;"
7,"Show order id, user id and product id for every order.","SELECT order_id, user_id, product_id FROM orders;"
8,Show each payment id with its order id and amount.,"SELECT payment_id, order_id, amount FROM payments;"
9,Which users are from the United States?,"SELECT user_id, name, email FROM users WHERE country = 'United States';"
10,Show all users from India.,"SELECT user_id, name, email FROM users WHERE country = 'India';"
11,Show products in the Electronics category.,"SELECT product_id, name, price FROM products WHERE category = 'Electronics';"
12,Show products that cost more than 100.,"SELECT product_id, name, price FROM products WHERE price > 100;"
13,Show products that cost less than 20.,"SELECT product_id, name, price FROM products WHERE price < 20;"
14,Show orders placed after 2024-01-01.,"SELECT order_id, user_id, product_id, quantity, order_date FROM orders WHERE order_date > '2024-01-01';"
15,Show orders placed in 2023.,"SELECT order_id, user_id, product_id, quantity, order_date FROM orders WHERE order_date BETWEEN '2023-01-01' AND '2023-12-31';"
16,Show completed orders only.,"SELECT order_id, user_id, product_id, quantity, status FROM orders WHERE status = 'COMPLETED';"
17,Show pending orders only.,"SELECT order_id, user_id, product_id, quantity, status FROM orders WHERE status = 'PENDING';"
18,How many users are registered in total?,SELECT COUNT(*) AS total_users FROM users;
19,How many orders have been placed in total?,SELECT COUNT(*) AS total_orders FROM orders;
20,Show the total quantity ordered for each product.,"SELECT product_id, SUM(quantity) AS total_quantity FROM orders GROUP BY product_id;"
21,Which product has the highest total quantity ordered?,"SELECT product_id, SUM(quantity) AS total_quantity FROM orders GROUP BY product_id ORDER BY total_quantity DESC LIMIT 1;"
22,Show the total revenue per product.,"SELECT p.product_id, p.name, SUM(o.quantity * p.price) AS total_revenue FROM orders o JOIN products p ON o.product_id = p.product_id GROUP BY p.product_id, p.name;"
23,Show the total revenue across all completed orders.,SELECT SUM(o.quantity * p.price) AS total_revenue FROM orders o JOIN products p ON o.product_id = p.product_id WHERE o.status = 'COMPLETED';
24,Show the average order quantity per user.,"SELECT user_id, AVG(quantity) AS avg_quantity FROM orders GROUP BY user_id;"
25,Show the minimum and maximum product price.,"SELECT MIN(price) AS min_price, MAX(price) AS max_price FROM products;"
26,"For each country, show how many users are registered.","SELECT country, COUNT(*) AS num_users FROM users GROUP BY country;"
27,"For each payment method, show the total amount paid.","SELECT payment_method, SUM(amount) AS total_amount FROM payments GROUP BY payment_method;"
28,"For each order status, show how many orders there are.","SELECT status, COUNT(*) AS num_orders FROM orders GROUP BY status;"
29,Show each order with the user name and product name.,"SELECT o.order_id, u.name AS user_name, p.name AS product_name, o.quantity, o.order_date FROM orders o JOIN users u ON o.user_id = u.user_id JOIN products p ON o.product_id = p.product_id;"
30,Show all completed orders with user name and payment amount.,"SELECT o.order_id, u.name AS user_name, pay.amount, pay.payment_date FROM orders o JOIN users u ON o.user_id = u.user_id JOIN payments pay ON o.order_id = pay.order_id WHERE o.status = 'COMPLETED';"
